16 103.807 89.5695
24 155.248 134.544
32 206.456 180.788
48 304.042 271.6
64 400.078 351.603
96 579.089 519.713
128 745.271 663.936
192 1058.68 920.878
256 1333.63 1207.72
384 1811.38 1634.24
512 2210.47 2004.01
768 2810.93 2575.52
1024 3286.82 3007.62
1536 3701.07 3508.63
2048 4620.02 4262.77
3072 5626 5268.72
4096 6661.99 6186.31
6144 7722.2 7344.25
8192 8419.98 8139.46
12288 9333.1 9012.99
16384 9787.57 9353.6
24576 10494.2 10320.7
32768 10688.7 10563.1
49152 11007 10919.6
65536 11198.8 11126.5
98304 11381.4 11333.3
131072 11474.5 11447.7
196608 11572.6 11549.5
262144 11609.5 11592.8
393216 11667.2 11645.7
524288 11690.8 11679.2
