16 119.027 111.24
24 178.44 164.076
32 233.855 209.622
48 345.345 323.921
64 445.692 413.122
96 649.272 609.634
128 839.617 784.426
192 1179.39 1102.86
256 1483.04 1389.34
384 1997.56 1896.67
512 2407.79 2270.38
768 3044.56 2896.47
1024 3516.31 3378.28
1536 3689.12 3507.34
2048 4427.81 4252.67
3072 5121.66 4913.93
4096 5776.34 5482.78
6144 6476.45 6223.09
8192 6963.4 6537.57
12288 7486.86 7223.87
16384 7678.08 7406.17
24576 8059.71 7788.74
32768 8219.12 7945.77
